,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
398,symmetric,nomax,0.3, 0.1, 0.1, 3869.0, 1
396,symmetric,nomax,0.31, 0.1, 0.1, 3867.0, 1
394,symmetric,nomax,0.32, 0.1, 0.1, 3863.0, 1
391,symmetric,nomax,0.33, 0.1, 0.1, 3857.0, 1
397,symmetric,nomax,0.34, 0.1, 0.1, 3849.0, 1
399,symmetric,nomax,0.35, 0.1, 0.1, 3837.0, 1
393,symmetric,nomax,0.36, 0.1, 0.1, 3822.0, 1
392,symmetric,nomax,0.37, 0.1, 0.1, 3804.0, 1
402,symmetric,nomax,0.38, 0.1, 0.1, 3781.0, 1
401,symmetric,nomax,0.39, 0.1, 0.1, 3753.0, 1
395,symmetric,nomax,0.4, 0.1, 0.1, 3722.0, 3
412,symmetric,nomax,0.41, 0.1, 0.1, 3698.0, 18
433,symmetric,nomax,0.42, 0.1, 0.1, 3679.0, 45
435,symmetric,nomax,0.43, 0.1, 0.1, 3665.0, 84
444,symmetric,nomax,0.44, 0.1, 0.1, 3656.0, 137
415,symmetric,nomax,0.45, 0.1, 0.1, 3650.0, 202
428,symmetric,nomax,0.46, 0.1, 0.1, 3647.0, 280
417,symmetric,nomax,0.47, 0.1, 0.1, 3646.0, 362
431,symmetric,nomax,0.48, 0.1, 0.1, 3646.0, 440
419,symmetric,nomax,0.49, 0.1, 0.1, 3645.0, 513
425,symmetric,nomax,0.5, 0.1, 0.1, 3643.0, 583
411,symmetric,nomax,0.51, 0.1, 0.1, 3638.0, 649
406,symmetric,nomax,0.52, 0.1, 0.1, 3630.0, 713
385,symmetric,nomax,0.53, 0.1, 0.1, 3618.0, 774
375,symmetric,nomax,0.54, 0.1, 0.1, 3599.0, 831
373,symmetric,nomax,0.55, 0.1, 0.1, 3575.0, 887
370,symmetric,nomax,0.56, 0.1, 0.1, 3543.0, 939
364,symmetric,nomax,0.57, 0.1, 0.1, 3459.0, 1037
367,symmetric,nomax,0.57, 0.1, 0.1, 3505.0, 990
361,symmetric,nomax,0.59, 0.1, 0.1, 3409.0, 1084
359,symmetric,nomax,0.6, 0.1, 0.1, 3354.0, 1127
356,symmetric,nomax,0.61, 0.1, 0.1, 3300.0, 1169
352,symmetric,nomax,0.62, 0.1, 0.1, 3246.0, 1208
350,symmetric,nomax,0.63, 0.1, 0.1, 3195.0, 1247
348,symmetric,nomax,0.64, 0.1, 0.1, 3145.0, 1283
346,symmetric,nomax,0.65, 0.1, 0.1, 3097.0, 1318
344,symmetric,nomax,0.66, 0.1, 0.1, 3050.0, 1350
342,symmetric,nomax,0.67, 0.1, 0.1, 3004.0, 1381
340,symmetric,nomax,0.68, 0.1, 0.1, 2960.0, 1411
336,symmetric,nomax,0.69, 0.1, 0.1, 2917.0, 1440
334,symmetric,nomax,0.7, 0.1, 0.1, 2875.0, 1466
332,symmetric,nomax,0.71, 0.1, 0.1, 2835.0, 1493
330,symmetric,nomax,0.72, 0.1, 0.1, 2796.0, 1518
328,symmetric,nomax,0.73, 0.1, 0.1, 2757.0, 1540
326,symmetric,nomax,0.74, 0.1, 0.1, 2720.0, 1563
324,symmetric,nomax,0.75, 0.1, 0.1, 2684.0, 1584
323,symmetric,nomax,0.76, 0.1, 0.1, 2648.0, 1603
320,symmetric,nomax,0.77, 0.1, 0.1, 2614.0, 1622
318,symmetric,nomax,0.78, 0.1, 0.1, 2581.0, 1640
316,symmetric,nomax,0.79, 0.1, 0.1, 2548.0, 1657
315,symmetric,nomax,0.8, 0.1, 0.1, 2516.0, 1672
313,symmetric,nomax,0.81, 0.1, 0.1, 2485.0, 1687
312,symmetric,nomax,0.82, 0.1, 0.1, 2455.0, 1701
309,symmetric,nomax,0.83, 0.1, 0.1, 2425.0, 1714
307,symmetric,nomax,0.84, 0.1, 0.1, 2396.0, 1725
305,symmetric,nomax,0.85, 0.1, 0.1, 2368.0, 1737
304,symmetric,nomax,0.86, 0.1, 0.1, 2341.0, 1748
302,symmetric,nomax,0.87, 0.1, 0.1, 2314.0, 1757
300,symmetric,nomax,0.88, 0.1, 0.1, 2287.0, 1765
297,symmetric,nomax,0.89, 0.1, 0.1, 2262.0, 1774
296,symmetric,nomax,0.9, 0.1, 0.1, 2237.0, 1781
294,symmetric,nomax,0.91, 0.1, 0.1, 2212.0, 1787
293,symmetric,nomax,0.92, 0.1, 0.1, 2188.0, 1792
292,symmetric,nomax,0.93, 0.1, 0.1, 2164.0, 1797
290,symmetric,nomax,0.94, 0.1, 0.1, 2141.0, 1801
288,symmetric,nomax,0.95, 0.1, 0.1, 2119.0, 1805
287,symmetric,nomax,0.96, 0.1, 0.1, 2097.0, 1808
280,symmetric,nomax,0.97, 0.1, 0.1, 2075.0, 1809
284,symmetric,nomax,0.98, 0.1, 0.1, 2054.0, 1811
260,symmetric,nomax,0.99, 0.1, 0.1, 2033.0, 1811
